Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column31;Column32;Column33;Column34;Column35;Column36;Column37;Column38;Column39;Column40;Column41;Column42;Column43;Column44;Column45;Column46;Column47;Column48;Column49;Column50;Column51;Column52;Column53;Column54;Column55;Column56;Column57;Column58;Column59;Column60;Column61;Column62;Column63;Column64;Column65;Column66;Column67;Column68;Column69;Column70;Column71;Column72
0,4541214;0,4850266;0,5031666;0,4693713;0,4948842;0,4533983;0,5042024;0,5897115;0,4852272;0,5577816;0,5058847;0,5493959;0,4938872;0,5903901;0,4883093;0,5516926;0,5991768;0,5042391;0,5181611;0,5655203;0,4944873;0,5681894;0,5047346;0,6157094;0,5706887;0,5293236;0,537101;0,5789127;0,5809322;0,5785231;0,6745668;0,5362664;0,5020224;0,621769;0,6399841;0,6488955;0,6199132;0,6544158;0,7227888;0,5628381;0,5315077;0,6863472;0,6157094;0,614511;0,5899628;0,6175703;0,5701299;0,5248205;0,6079051;0,5539247;0,6303259;0,5392087;0,5331638;0,5064701;0,5299293;0,4829907;0,5187387;0,4852272;0,5318901;0,4976699;0,5194288;0,5412403;0,530472;0,6362945;0,5233535;0,5618553;0,5293836;0,5301293;0,5604803;0,5656905;0,5055473;0,4893119
0,4542631;0,4846754;0,5030644;0,4690139;0,4948012;0,4532561;0,5040524;0,5893331;0,4848302;0,5575877;0,5059872;0,549125;0,4940587;0,5903588;0,488219;0,5518038;0,5991951;0,5043535;0,5180932;0,5651512;0,4939543;0,5679333;0,5047213;0,615514;0,5702459;0,5291895;0,5370796;0,5786101;0,5802542;0,5778208;0,6742404;0,5359945;0,5019963;0,6215789;0,6400614;0,6486782;0,6195332;0,6541572;0,7224891;0,562883;0,5313952;0,685964;0,615514;0,6138608;0,58974;0,6175555;0,5701216;0,5249171;0,6077743;0,5538053;0,6302741;0,538912;0,5333654;0,5062952;0,5297621;0,4828926;0,5187979;0,4848302;0,5321931;0,4972024;0,519313;0,5411726;0,5302416;0,6361752;0,5234079;0,5615736;0,5292779;0,5301358;0,5600597;0,5654563;0,5053762;0,489341
0,454497;0,4844923;0,5029814;0,4687349;0,4946234;0,4528832;0,503862;0,5891985;0,4849778;0,5574341;0,50569;0,5491757;0,4938364;0,5901856;0,4880687;0,5515573;0,5989264;0,5041054;0,5178632;0,5647748;0,4937364;0,5677179;0,5046931;0,6151443;0,57008;0,5290084;0,5368663;0,5781041;0,5799983;0,577579;0,6734845;0,5356823;0,5021357;0,6213509;0,6396443;0,6484774;0,61937;0,654174;0,7222452;0,5627955;0,5308306;0,685662;0,6151443;0,6137195;0,5894617;0,6173782;0,5699888;0,5245442;0,6077414;0,5538628;0,6302276;0,5386425;0,5336499;0,5065384;0,5295872;0,4826071;0,5189477;0,4849778;0,5321914;0,497062;0,5192711;0,5412645;0,5299454;0,6361207;0,5233725;0,5616032;0,5292606;0,5301372;0,5599867;0,5652714;0,5055076;0,4894001
0,4544691;0,4846332;0,5029781;0,4690667;0,4945035;0,4527198;0,5035921;0,5892413;0,4849768;0,5577719;0,5059593;0,5493309;0,4935847;0,5899267;0,4881455;0,5511699;0,5990037;0,5041202;0,5176243;0,564845;0,493811;0,5676605;0,5044358;0,6147604;0,570152;0,5291339;0,5367769;0,5782789;0,5800821;0,5777534;0,6733094;0,5354257;0,5022873;0,6214387;0,6391274;0,6484571;0,6193323;0,6540945;0,7215795;0,5627375;0,5303731;0,6852999;0,6147604;0,613737;0,5893154;0,617137;0,5700066;0,5246866;0,6079528;0,5541005;0,6299039;0,5385553;0,5337486;0,5067;0,5295569;0,4825544;0,5187768;0,4849768;0,5322147;0,4974298;0,5193824;0,5411955;0,530314;0,6360003;0,5233201;0,5614504;0,529368;0,5300196;0,5596945;0,5649507;0,5054857;0,4895176
0,4545729;0,4846817;0,5029946;0,4690419;0,4946782;0,4529276;0,5036134;0,5893239;0,4851102;0,5577929;0,5061953;0,5490578;0,4935235;0,5899584;0,4881192;0,5513284;0,599153;0,5042469;0,5174207;0,5646668;0,4936725;0,5678399;0,5047801;0,6148395;0,5701823;0,5291491;0,5371265;0,5785005;0,5799845;0,5777071;0,6731226;0,5350032;0,5022002;0,6216398;0,6386532;0,6479083;0,619063;0,6538107;0,7211651;0,5623143;0,5305458;0,6848632;0,6148395;0,6131793;0,5889275;0,6169472;0,5699947;0,5246207;0,6081511;0,5540796;0,629853;0,5387908;0,5336772;0,506863;0,5296089;0,4825485;0,5184733;0,4851102;0,5320097;0,4974285;0,5196754;0,5408808;0,5303894;0,6359673;0,5231971;0,5614745;0,5295061;0,5302288;0,5591046;0,5648552;0,5053477;0,4894989
0,4540656;0,4845342;0,5028692;0,4689215;0,4948291;0,45265;0,5035855;0,5894554;0,4850187;0,5573272;0,5059745;0,5485681;0,4935062;0,5900839;0,487801;0,5516384;0,5987254;0,5040275;0,5174197;0,5646459;0,4936477;0,567731;0,5047295;0,6144813;0,5699092;0,5289851;0,5365611;0,5778632;0,57944;0,5771535;0,6724891;0,5347096;0,5016467;0,6210773;0,6382895;0,6473083;0,6186312;0,6533428;0,7208078;0,5617849;0,5303081;0,6846371;0,6144813;0,6128591;0,5882731;0,6166702;0,5697008;0,5239807;0,6078797;0,553583;0,6300082;0,538641;0,5331134;0,5065864;0,529323;0,4823171;0,5184202;0,4850187;0,5315731;0,4969865;0,5195442;0,5404342;0,5300095;0,6361446;0,5231314;0,5612649;0,529336;0,5299515;0,5586725;0,5645136;0,5049927;0,4892795
0,4539705;0,4844694;0,5027013;0,468718;0,4946037;0,4523569;0,5035539;0,589601;0,4846763;0,5570999;0,5057895;0,5484901;0,4931333;0,5896289;0,4874023;0,5514915;0,5982601;0,5037619;0,5173739;0,5645862;0,4932409;0,5674791;0,5044318;0,6140798;0,569747;0,5288966;0,5364825;0,5773137;0,5791823;0,5768744;0,6720446;0,5344504;0,5015136;0,6207539;0,6379396;0,6469172;0,6186699;0,6529828;0,7205464;0,5616965;0,5297775;0,684695;0,6140798;0,6126868;0,587871;0,6164566;0,5692912;0,5239446;0,6077781;0,5532784;0,6298082;0,5385449;0,5328274;0,5061015;0,5287372;0,4821197;0,5185863;0,4846763;0,5315504;0,4969433;0,5194984;0,5404774;0,5295855;0,6358458;0,5234805;0,5610721;0,5289829;0,5298416;0,5583076;0,564136;0,5048959;0,4889192
0,4539568;0,484365;0,5029547;0,4686103;0,4944446;0,4527177;0,5034999;0,5894992;0,4845648;0,5569814;0,5059354;0,5485541;0,4931838;0,5896974;0,4877189;0,5511328;0,5980787;0,5035801;0,5175864;0,5647424;0,4934498;0,5674087;0,5042866;0,6139673;0,5695028;0,5287009;0,5366873;0,5768653;0,579106;0,5765492;0,6721464;0,5340828;0,5016138;0,6207083;0,6377463;0,6469391;0,6184729;0,6526045;0,7201482;0,5615641;0,5296964;0,6843862;0,6139673;0,6122194;0,5878329;0,6161917;0,5694256;0,5241811;0,6073853;0,5530927;0,6293823;0,5383999;0,5329781;0,5060115;0,5289729;0,4820841;0,518606;0,4845648;0,5317569;0,4967884;0,5193368;0,5406582;0,5293763;0,635429;0,5235593;0,5611023;0,5288847;0,529741;0,5584791;0,5642543;0,5047094;0,4888635
0,4539451;0,4841681;0,5029065;0,4685534;0,4943118;0,4525511;0,5034996;0,5889651;0,4843666;0,5568768;0,5057253;0,5483011;0,493191;0,5899491;0,4874726;0,5509802;0,5979815;0,5033876;0,517414;0,5647021;0,4936906;0,5674061;0,5041702;0,6136157;0,5690222;0,5282379;0,5363676;0,5763741;0,5785216;0,5757969;0,6725539;0,5335976;0,5014195;0,6206837;0,6376148;0,6466748;0,6178698;0,6518048;0,7196689;0,5609078;0,5293968;0,6836412;0,6136157;0,6116833;0,5876063;0,6155874;0,569557;0,5241723;0,6069451;0,55299;0,6292484;0,5380444;0,5326813;0,5058748;0,529431;0,481975;0,5181645;0,4843666;0,5316825;0,4964219;0,5188662;0,5404582;0,5293031;0,6353751;0,5229366;0,5604078;0,5286473;0,529497;0,5584112;0,5640544;0,5043843;0,4886639
0,4538456;0,4839826;0,5026453;0,4682564;0,4941044;0,452325;0,503294;0,5888799;0,4841464;0,5567156;0,5056045;0,5481969;0,492789;0,5891785;0,4869427;0,5509065;0,5979961;0,5033782;0,5169212;0,5643897;0,493345;0,5673388;0,5039613;0,6132182;0,5691245;0,5280755;0,5360754;0,5760586;0,5779364;0,5752839;0,6719802;0,5330513;0,5012209;0,6204806;0,6373504;0,6463976;0,6174831;0,6517556;0,7189123;0,5602603;0,5291987;0,6833087;0,6132182;0,6113281;0,5869402;0,6152575;0,569011;0,5237762;0,6068118;0,5529451;0,6293725;0,5381113;0,53234;0,5055899;0,5291484;0,4820521;0,5180676;0,4841464;0,5313582;0,4960543;0,5186142;0,5404874;0,529141;0,6353862;0,5228702;0,5601614;0,5284672;0,5292513;0,557945;0,5636017;0,5041407;0,4885543
